,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
30,FF,2023-04-11,92.2,-0.35,6.96,"Flexen, Chris",663538,623167,,swinging_strike,,,,,12,"Nico Hoerner grounds out, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,S,,,1,1,2023,-0.18,1.63,1.06,2.73,,543228.0,676369.0,2,2,Bot,,,,,663728,,,3.950229333634448,-133.98200030313564,-8.401630978480814,-3.028885737849887,28.72394763319028,-10.955920487681569,3.12,1.51,,,,91.9,2223,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.36,,,,,,,,27,3,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,197,0.0,-0.106
31,FF,2023-04-11,90.6,-0.27,6.92,"Flexen, Chris",663538,623167,,called_strike,,,,,6,"Nico Hoerner grounds out, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,S,,,1,0,2023,-0.02,1.66,0.8,2.2,,543228.0,676369.0,2,2,Bot,,,,,663728,,,2.696730370212196,-131.72174069618262,-9.3753502921189,-0.8203025628409346,27.902761943128603,-11.052340011080004,3.12,1.51,,,,90.4,2135,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.32,,,,,,,,27,2,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,190,0.0,-0.138
32,SL,2023-04-11,78.0,-0.43,6.9,"Flexen, Chris",663538,623167,,ball,,,,,14,"Nico Hoerner grounds out, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,B,,,0,0,2023,1.3,-0.51,1.51,1.52,,543228.0,676369.0,2,2,Bot,,,,,663728,,,1.8014230551784276,-113.50018539417484,-3.6663920333073023,10.746508800655604,22.999916333844567,-36.05946725531629,3.12,1.53,,,,77.5,2566,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.32,,,,,,,,27,1,Slider,1,7,1,7,7,1,1,7,Standard,Standard,33,0.0,0.078
33,SI,2023-04-11,92.4,-0.39,6.89,"Flexen, Chris",676369,623167,single,hit_into_play,,,,,8,Nelson Velazquez singles on a sharp line drive to left fielder Jarred Kelenic.   Yan Gomes to 2nd.,R,R,R,CHC,SEA,X,7.0,line_drive,2,0,2023,-0.43,1.54,0.02,2.23,,,543228.0,2,2,Bot,59.28,100.79,,,663728,,,1.960133155688588,-134.40381315969137,-9.37279601890185,-5.575239472161033,27.90069001408319,-11.749135063171382,3.46,1.71,236.0,104.7,13.0,92.3,2213,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.34,0.854,0.834,0.9,1.0,1.0,0.0,4.0,26,3,Sinker,1,7,1,7,7,1,1,7,Standard,Standard,193,0.01,0.261
34,FC,2023-04-11,88.1,-0.3,6.84,"Flexen, Chris",676369,623167,,blocked_ball,,,,,14,Nelson Velazquez singles on a sharp line drive to left fielder Jarred Kelenic.   Yan Gomes to 2nd.,R,R,R,CHC,SEA,B,,,1,0,2023,0.68,0.82,0.88,0.44,,,543228.0,2,2,Bot,,,,,663728,,,1.4542284841050257,-127.93654858865766,-11.13833924083464,7.205726103424305,24.724648980606865,-21.2039712016234,3.36,1.71,,,,88.3,2440,6.4,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.14,,,,,,,,26,2,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,170,0.0,0.01
35,FF,2023-04-11,91.8,-0.23,6.86,"Flexen, Chris",676369,623167,,ball,,,,,14,Nelson Velazquez singles on a sharp line drive to left fielder Jarred Kelenic.   Yan Gomes to 2nd.,R,R,R,CHC,SEA,B,,,0,0,2023,-0.15,1.58,0.53,1.18,,,543228.0,2,2,Bot,,,,,663728,,,2.2548637158859948,-133.18374924810666,-11.936465126889413,-2.311653165445454,28.0496490266681,-11.07727870236797,3.4,1.71,,,,92.0,2116,6.5,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,53.96,,,,,,,,26,1,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,193,0.0,0.026
36,FF,2023-04-11,92.5,-0.27,6.89,"Flexen, Chris",543228,623167,single,hit_into_play,,,,,6,Yan Gomes singles on a ground ball to second baseman Kolten Wong.   Cody Bellinger scores.,R,R,R,CHC,SEA,X,4.0,ground_ball,3,2,2023,-0.07,1.44,0.66,2.1,641355.0,,,2,2,Bot,125.32,138.1,,,663728,,,2.520012883577167,-134.4845909980215,-9.543356055123098,-1.4014337790424922,26.06881691874763,-12.844339763246548,3.1,1.43,7.0,96.9,-16.0,92.4,2148,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.44,0.18,0.166,0.9,1.0,1.0,0.0,2.0,25,6,4-Seam Fastball,0,7,0,7,7,1,1,7,Standard,Standard,193,0.021,0.765
37,FC,2023-04-11,87.3,-0.24,6.91,"Flexen, Chris",543228,623167,,ball,,,,,12,Yan Gomes singles on a ground ball to second baseman Kolten Wong.   Cody Bellinger scores.,R,R,R,CHC,SEA,B,,,2,2,2023,0.44,0.53,0.76,3.74,641355.0,,,2,2,Bot,,,,,663728,,,1.4906835876757112,-127.2384898397943,-2.6805453704573496,4.621719569492599,22.09726884827482,-26.063895472453,3.13,1.48,,,,88.2,2422,6.4,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.08,,,,,,,,25,5,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,153,0.0,0.11
38,FF,2023-04-11,91.2,-0.27,6.87,"Flexen, Chris",543228,623167,,foul,,,,,5,Yan Gomes singles on a ground ball to second baseman Kolten Wong.   Cody Bellinger scores.,R,R,R,CHC,SEA,S,,,2,1,2023,-0.24,1.49,0.18,2.31,641355.0,,,2,2,Bot,,,,,663728,,,1.6342375831800913,-132.66485070168594,-8.74840971828486,-3.192082341539399,26.882218440396205,-12.90462390725209,3.1,1.43,196.0,75.2,57.0,90.8,2137,5.9,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.55,,,,,,,,25,4,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,190,0.0,-0.089
39,FC,2023-04-11,87.5,-0.32,6.84,"Flexen, Chris",543228,623167,,swinging_strike,,,,,8,Yan Gomes singles on a ground ball to second baseman Kolten Wong.   Cody Bellinger scores.,R,R,R,CHC,SEA,S,,,2,0,2023,0.55,0.55,-0.23,1.38,641355.0,,,2,2,Bot,,,,,663728,,,-0.8942800318783636,-127.31677967852475,-8.163484812384384,6.21787480281828,23.653105073845104,-24.7693464425342,3.1,1.43,,,,87.2,2421,5.9,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.59,,,,,,,,25,3,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,164,0.0,-0.078
40,FF,2023-04-11,91.6,-0.34,6.96,"Flexen, Chris",543228,623167,,ball,,,,,12,Yan Gomes singles on a ground ball to second baseman Kolten Wong.   Cody Bellinger scores.,R,R,R,CHC,SEA,B,,,1,0,2023,-0.03,1.6,0.65,3.71,641355.0,,,2,2,Bot,,,,,663728,,,2.5517189435715486,-133.24675009705507,-5.730356332769633,-0.9635104128455724,29.506212658734743,-12.07329493728354,3.1,1.43,,,,90.8,2218,5.9,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.59,,,,,,,,25,2,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,197,0.0,0.12
41,FF,2023-04-11,91.6,-0.41,6.91,"Flexen, Chris",543228,623167,,ball,,,,,14,Yan Gomes singles on a ground ball to second baseman Kolten Wong.   Cody Bellinger scores.,R,R,R,CHC,SEA,B,,,0,0,2023,-0.19,1.62,0.83,1.14,641355.0,,,2,2,Bot,,,,,663728,,,3.5107895815725234,-132.98977014235888,-12.121214569781689,-2.953089072317627,27.471215558666454,-10.6232198425002,3.34,1.64,,,,91.4,2249,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.29,,,,,,,,25,1,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,192,0.0,0.039
42,FC,2023-04-11,89.1,-0.43,6.93,"Flexen, Chris",543333,623167,grounded_into_double_play,hit_into_play,,,,,9,"Eric Hosmer grounds into a double play, second baseman Kolten Wong to shortstop J.  P. Crawford to first baseman Ty France.   Cody Bellinger to 3rd.    Patrick Wisdom out at 2nd.    Eric Hosmer out at 1st.",R,L,R,CHC,SEA,X,4.0,ground_ball,2,1,2023,0.61,0.84,0.32,2.15,,641355.0,621550.0,0,2,Bot,140.11,140.8,,,663728,,,0.5485496799993624,-129.79399020121738,-7.560957031038397,6.870344591094691,23.433701381908648,-21.38290737347832,3.65,1.74,107.0,80.0,8.0,89.5,2367,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.36,0.377,0.342,0.0,1.0,0.0,0.0,4.0,24,4,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,167,-0.043,-0.665
43,FF,2023-04-11,91.4,-0.5,6.96,"Flexen, Chris",543333,623167,,ball,,,,,11,"Eric Hosmer grounds into a double play, second baseman Kolten Wong to shortstop J.  P. Crawford to first baseman Ty France.   Cody Bellinger to 3rd.    Patrick Wisdom out at 2nd.    Eric Hosmer out at 1st.",R,L,R,CHC,SEA,B,,,1,1,2023,0.07,1.56,-0.23,4.78,,641355.0,621550.0,0,2,Bot,,,,,663728,,,0.5376187718885469,-133.18369116754454,-3.020700048186459,0.7302509100285925,26.52055820611659,-13.045040486941856,3.72,1.88,,,,91.3,2124,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.52,,,,,,,,24,3,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,192,0.0,0.091
44,FC,2023-04-11,87.4,-0.48,6.93,"Flexen, Chris",543333,623167,,ball,,,,,12,"Eric Hosmer grounds into a double play, second baseman Kolten Wong to shortstop J.  P. Crawford to first baseman Ty France.   Cody Bellinger to 3rd.    Patrick Wisdom out at 2nd.    Eric Hosmer out at 1st.",R,L,R,CHC,SEA,B,,,0,1,2023,0.69,0.36,1.14,3.18,,641355.0,621550.0,0,2,Bot,,,,,663728,,,2.5042427236221667,-127.32801953205346,-3.681190061944368,7.106085929899474,24.2092238526904,-27.712647524197997,3.65,1.76,,,,88.0,2405,6.4,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.09,,,,,,,,24,2,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,157,0.0,0.034
45,FC,2023-04-11,88.8,-0.49,6.92,"Flexen, Chris",543333,623167,,foul,,,,,12,"Eric Hosmer grounds into a double play, second baseman Kolten Wong to shortstop J.  P. Crawford to first baseman Ty France.   Cody Bellinger to 3rd.    Patrick Wisdom out at 2nd.    Eric Hosmer out at 1st.",R,L,R,CHC,SEA,S,,,0,0,2023,0.6,0.88,0.26,4.01,,641355.0,621550.0,0,2,Bot,,,,,663728,,,0.5858172203477618,-129.45421515512308,-2.981789850580148,6.702789895155352,24.375853755286418,-21.819805829369024,3.65,1.74,276.0,83.8,30.0,89.0,2404,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.41,,,,,,,,24,1,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,171,0.0,-0.091
46,FF,2023-04-11,91.7,-0.25,7.02,"Flexen, Chris",621550,623167,walk,ball,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,3,2,2023,-0.04,1.53,0.24,4.37,,,641355.0,0,2,Bot,,,,,663728,,,1.328917821664972,-133.61102620974864,-4.180482304251306,-0.8017902119198841,27.130483959398376,-13.088805940768443,3.32,1.53,,,,91.4,2160,5.9,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.6,,,0.7,1.0,0.0,0.0,,23,6,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,191,0.023,0.543
47,FC,2023-04-11,89.3,-0.26,6.95,"Flexen, Chris",621550,623167,,ball,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,2,2,2023,0.75,0.79,0.84,3.47,,,641355.0,0,2,Bot,,,,,663728,,,1.129083176515223,-130.08117011944506,-4.289268840489815,8.340778632630018,24.39519933573476,-22.46283728189407,3.23,1.53,,,,89.5,2361,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.4,,,,,,,,23,5,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,168,0.0,0.185
48,FF,2023-04-11,90.7,-0.3,6.91,"Flexen, Chris",621550,623167,,foul,,,,,5,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,S,,,2,1,2023,-0.26,1.57,0.01,2.12,,,641355.0,0,2,Bot,,,,,663728,,,1.3234200668044704,-131.95822363899146,-9.427512724623424,-3.2766082190683283,25.84574779509659,-12.125005383271017,3.23,1.53,90.0,77.0,7.0,90.9,2090,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.23,,,,,,,,23,4,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,190,0.0,-0.1
49,FF,2023-04-11,91.2,-0.3,6.99,"Flexen, Chris",621550,623167,,foul,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,S,,,2,0,2023,-0.13,1.59,0.0,3.41,,,641355.0,0,2,Bot,,,,,663728,,,1.0249241836525576,-132.76436121851222,-6.496282333672691,-1.73191190755306,26.73240302311088,-12.174735968056028,3.23,1.53,,,,90.7,1964,5.8,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.65,,,,,,,,23,3,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,189,0.0,-0.073
50,FF,2023-04-11,91.3,-0.43,6.99,"Flexen, Chris",621550,623167,,ball,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,1,0,2023,-0.04,1.61,0.73,3.98,,,641355.0,0,2,Bot,,,,,663728,,,3.0000595776475323,-132.99250326349593,-5.17801751742324,-1.1066244971037882,27.185549423441305,-12.123291244470806,3.23,1.53,,,,91.1,2027,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.47,,,,,,,,23,2,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,189,0.0,0.058
51,FC,2023-04-11,87.2,-0.41,6.92,"Flexen, Chris",621550,623167,,ball,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,0,0,2023,0.51,0.43,0.94,3.11,,,641355.0,0,2,Bot,,,,,663728,,,2.190140579652055,-127.19881178301884,-3.9933977387432393,5.258765471041883,21.755692543863496,-26.98151164679709,3.23,1.53,,,,87.7,2192,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.41,,,,,,,,23,1,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,152,0.0,0.038
52,FF,2023-04-11,92.0,-0.48,6.87,"Flexen, Chris",641355,623167,single,hit_into_play,,,,,1,Cody Bellinger singles on a ground ball to second baseman Kolten Wong.,R,L,R,CHC,SEA,X,4.0,ground_ball,1,2,2023,-0.23,1.37,-0.62,3.49,,,,0,2,Bot,139.25,167.17,,,663728,,,0.1528076440258073,-133.93456816349374,-5.734109549167004,-2.820633470608081,27.419389733180346,-14.64916956440587,3.7,1.74,1.0,71.3,-77.0,92.0,2063,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.33,0.2,0.18,0.9,1.0,1.0,0.0,2.0,22,4,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,193,0.014,0.456
53,FC,2023-04-11,88.3,-0.49,6.9,"Flexen, Chris",641355,623167,,called_strike,,,,,4,Cody Bellinger singles on a ground ball to second baseman Kolten Wong.,R,L,R,CHC,SEA,S,,,1,1,2023,0.6,0.77,-0.73,3.01,,,,0,2,Bot,,,,,663728,,,-1.797997638924283,-128.6647151050021,-5.014612555208443,7.093457016609258,25.61071192639587,-22.744919341150197,3.7,1.74,,,,87.6,2195,5.7,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.85,,,,,,,,22,3,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,181,0.0,-0.057
54,FC,2023-04-11,86.5,-0.6,6.88,"Flexen, Chris",641355,623167,,swinging_strike,,,,,2,Cody Bellinger singles on a ground ball to second baseman Kolten Wong.,R,L,R,CHC,SEA,S,,,1,0,2023,0.46,0.48,0.19,3.39,,,,0,2,Bot,,,,,663728,,,0.9311132117256408,-126.03412309472256,-3.135325826206074,4.797091400507352,23.559026645231395,-26.65657233477618,3.7,1.74,,,,86.6,2300,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.41,,,,,,,,22,2,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,163,0.0,-0.057
55,FF,2023-04-11,90.4,-0.49,7.08,"Flexen, Chris",641355,623167,,ball,,,,,11,Cody Bellinger singles on a ground ball to second baseman Kolten Wong.,R,L,R,CHC,SEA,B,,,0,0,2023,-0.45,1.55,-2.06,5.29,,,,0,2,Bot,,,,,663728,,,-2.936751045525147,-131.63671375751068,-1.7671979937939146,-4.516676203858021,29.4116492710149,-14.092310362592386,3.69,1.77,,,,89.3,2085,5.7,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.81,,,,,,,,22,1,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,194,0.0,0.044
56,CH,2023-04-11,78.0,-0.4,6.68,"Flexen, Chris",641820,623167,strikeout,called_strike,,,,,8,Trey Mancini called out on strikes.,R,R,R,CHC,SEA,S,2.0,,0,2,2023,-0.95,0.62,-0.01,2.04,,,621020.0,2,1,Bot,,,,,663728,,,2.588954216242029,-113.55686433200574,-4.265045912525546,-8.695075475725435,20.08482537123793,-26.23055106936559,3.79,1.74,,,,78.0,1315,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.31,,,0.0,1.0,0.0,0.0,,11,3,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,229,-0.023,-0.156
57,FF,2023-04-11,91.4,-0.32,6.88,"Flexen, Chris",641820,623167,,foul,,,,,11,Trey Mancini called out on strikes.,R,R,R,CHC,SEA,S,,,0,1,2023,-0.28,1.58,-0.25,3.95,,,621020.0,2,1,Bot,,,,,663728,,,0.7772798302760872,-133.0326928228068,-4.876074780098012,-3.5389635063130256,29.557914618682343,-12.613208216001045,3.62,1.67,210.0,68.6,30.0,91.0,2207,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.36,,,,,,,,11,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,190,0.0,-0.041
58,FF,2023-04-11,91.8,-0.27,6.89,"Flexen, Chris",641820,623167,,called_strike,,,,,9,Trey Mancini called out on strikes.,R,R,R,CHC,SEA,S,,,0,0,2023,-0.31,1.63,0.77,1.91,,,621020.0,2,1,Bot,,,,,663728,,,3.293396717111228,-133.25287529239708,-10.185600529627106,-4.418576797406874,29.98160527178644,-10.760947457685434,3.65,1.74,,,,91.3,2270,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.28,,,,,,,,11,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,191,0.0,-0.041
59,FF,2023-04-11,92.0,-0.44,6.94,"Flexen, Chris",664023,623167,field_out,hit_into_play,,,,,4,Ian Happ flies out to center fielder Julio Rodriguez.,R,L,R,CHC,SEA,X,8.0,fly_ball,0,0,2023,-0.31,1.64,-0.55,2.72,,,621020.0,1,1,Bot,127.64,62.41,,,663728,,,0.3786549576811969,-133.7984798668759,-8.36589456939793,-3.854055828874672,27.693028700064755,-10.847431100464345,3.44,1.6,338.0,87.2,28.0,91.4,2200,5.9,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.6,0.066,0.076,0.0,1.0,0.0,0.0,3.0,10,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,190,-0.029,-0.332
60,FC,2023-04-11,90.2,-0.22,6.95,"Flexen, Chris",621020,623167,single,hit_into_play,,,,,14,Dansby Swanson singles on a ground ball to second baseman Kolten Wong.,R,R,R,CHC,SEA,X,4.0,ground_ball,2,2,2023,0.62,0.82,0.84,2.48,,,,1,1,Bot,120.48,139.92,,,663728,,,1.3169468415203882,-131.37776342134995,-6.935261905997864,6.948654911508454,25.12275192311797,-21.483620544873723,3.41,1.6,12.0,77.7,-10.0,90.4,2386,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.33,0.094,0.085,0.9,1.0,1.0,0.0,2.0,9,6,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,163,0.026,0.294
61,CH,2023-04-11,81.8,-0.38,6.74,"Flexen, Chris",621020,623167,,foul,,,,,5,Dansby Swanson singles on a ground ball to second baseman Kolten Wong.,R,R,R,CHC,SEA,S,,,2,2,2023,-1.15,0.81,-0.25,2.82,,,,1,1,Bot,,,,,663728,,,2.4904943590282627,-119.18193656342126,-3.849552172339215,-11.397746170156266,22.89228913130146,-23.888269405509483,3.41,1.6,9.0,88.0,-18.0,81.8,1356,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.28,,,,,,,,9,5,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,215,0.0,0.0
62,FF,2023-04-11,92.9,-0.17,6.96,"Flexen, Chris",621020,623167,,foul,,,,,3,Dansby Swanson singles on a ground ball to second baseman Kolten Wong.,R,R,R,CHC,SEA,S,,,2,1,2023,-0.24,1.69,0.44,3.12,,,,1,1,Bot,,,,,663728,,,2.068874069387965,-135.1557700968842,-7.729366010782979,-3.3359351397067782,29.9203298120836,-10.02295491438644,3.41,1.6,177.0,84.4,74.0,92.6,2247,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.33,,,,,,,,9,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,196,0.0,-0.037
63,FF,2023-04-11,93.9,-0.19,6.95,"Flexen, Chris",621020,623167,,ball,,,,,12,Dansby Swanson singles on a ground ball to second baseman Kolten Wong.,R,R,R,CHC,SEA,B,,,1,1,2023,-0.14,1.68,0.74,4.0,,,,1,1,Bot,,,,,663728,,,2.716633047368649,-136.63823203661389,-5.599969193355599,-2.359971557627954,31.8856186037307,-10.124106384812256,3.41,1.63,,,,93.4,2292,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.35,,,,,,,,9,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,197,0.0,0.035
64,FF,2023-04-11,92.5,-0.22,6.86,"Flexen, Chris",621020,623167,,called_strike,,,,,9,Dansby Swanson singles on a ground ball to second baseman Kolten Wong.,R,R,R,CHC,SEA,S,,,1,0,2023,-0.23,1.65,0.75,2.09,,,,1,1,Bot,,,,,663728,,,2.9806997046723445,-134.33786132140185,-9.912798580701011,-3.474311845450728,29.60818891477472,-10.27426128051189,3.38,1.59,,,,92.3,2232,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.17,,,,,,,,9,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,195,0.0,-0.046
65,FC,2023-04-11,90.2,-0.23,6.92,"Flexen, Chris",621020,623167,,ball,,,,,14,Dansby Swanson singles on a ground ball to second baseman Kolten Wong.,R,R,R,CHC,SEA,B,,,0,0,2023,0.37,0.92,1.11,1.35,,,,1,1,Bot,,,,,663728,,,2.521422181573711,-131.15730302501416,-9.84021802164007,3.811439637103887,26.86326981143448,-19.766189983148543,3.34,1.63,,,,90.1,2465,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.28,,,,,,,,9,1,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,170,0.0,0.036
66,FC,2023-04-11,89.0,-0.41,6.93,"Flexen, Chris",663538,623167,field_out,hit_into_play,,,,,12,"Nico Hoerner grounds out sharply, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,X,4.0,ground_ball,2,2,2023,0.26,0.49,0.92,2.51,,,,0,1,Bot,140.47,153.85,,,663728,,,2.712735192071297,-129.60186205315435,-5.902340259859379,2.4175194341178834,24.277739873774014,-25.67646516943926,3.12,1.51,10.0,101.1,-14.0,89.2,2460,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.35,0.197,0.184,0.0,1.0,0.0,0.0,2.0,8,8,Cutter,0,2,0,2,2,0,0,2,Standard,Standard,156,-0.022,-0.217
67,FF,2023-04-11,93.9,-0.24,6.9,"Flexen, Chris",663538,623167,,foul,,,,,5,"Nico Hoerner grounds out sharply, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,S,,,2,2,2023,-0.21,1.67,0.19,2.49,,,,0,1,Bot,,,,,663728,,,1.5629717222764932,-136.56824118612863,-9.403628387176914,-2.9724267316787363,28.312771208429293,-9.460739626202807,3.12,1.51,228.0,70.3,36.0,93.9,2132,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.29,,,,,,,,8,7,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,196,0.0,0.0
68,FF,2023-04-11,92.7,-0.23,6.93,"Flexen, Chris",663538,623167,,foul,,,,,6,"Nico Hoerner grounds out sharply, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,S,,,2,2,2023,-0.05,1.58,0.58,2.43,,,,0,1,Bot,,,,,663728,,,2.170664624467935,-134.76429014614322,-9.092948533436251,-1.1581742582730896,30.87531331157698,-11.12032602583608,3.12,1.51,281.0,83.8,42.0,92.2,2015,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.33,,,,,,,,8,6,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,194,0.0,0.0
69,CH,2023-04-11,81.1,-0.37,6.59,"Flexen, Chris",663538,623167,,ball,,,,,14,"Nico Hoerner grounds out sharply, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,B,,,1,2,2023,-1.21,0.67,0.48,1.17,,,,0,1,Bot,,,,,663728,,,4.1951513599129,-117.9175234355234,-6.76104224894134,-12.040999829823772,23.26483314624856,-24.822269483967688,3.09,1.51,,,,81.0,1368,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.16,,,,,,,,8,5,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,223,0.0,0.04
