,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
10,FC,2023-04-11,88.5,-0.32,6.78,"Flexen, Chris",621550,623167,walk,blocked_ball,,,,,14,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,3,2,2023,0.67,0.75,0.6,0.19,,,641355.0,1,3,Bot,,,,,663728,,,0.851010669076251,-128.66829968191186,-11.63856767739903,7.319861149501651,22.80306257813276,-21.824540519463365,3.27,1.53,,,,88.9,2421,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.24,,,0.7,1.0,0.0,0.0,,36,6,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,171,0.033,0.31
11,FF,2023-04-11,91.5,-0.35,6.88,"Flexen, Chris",621550,623167,,foul,,,,,6,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,S,,,3,1,2023,0.16,1.51,0.35,2.31,,,641355.0,1,3,Bot,,,,,663728,,,1.3923450991399502,-133.02846101711592,-8.840443125358792,1.6252957345456138,30.165171439554197,-12.576982608724885,3.23,1.53,117.0,76.9,82.0,90.8,2126,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.47,,,,,,,,36,5,4-Seam Fastball,3,7,3,7,7,3,3,7,Standard,Standard,190,0.0,-0.157
12,FF,2023-04-11,92.1,-0.33,6.89,"Flexen, Chris",621550,623167,,called_strike,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,S,,,3,0,2023,0.12,1.47,0.86,2.47,,,641355.0,1,3,Bot,,,,,663728,,,2.726895700078862,-133.95674767414707,-8.512395599035111,0.8571185905552352,30.00310704530185,-12.804412831545392,3.21,1.54,,,,91.4,2175,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.53,,,,,,,,36,4,4-Seam Fastball,3,7,3,7,7,3,3,7,Standard,Standard,188,0.0,-0.022
13,FC,2023-04-11,88.7,-0.36,6.94,"Flexen, Chris",621550,623167,,ball,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,2,0,2023,0.5,0.75,1.13,3.56,,,641355.0,1,3,Bot,,,,,663728,,,2.589163497563268,-129.25061609848711,-3.8190128479478114,5.136445761761788,24.77264228656091,-23.132030725827985,3.27,1.53,,,,88.2,2313,5.7,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.77,,,,,,,,36,3,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,158,0.0,0.126
14,SL,2023-04-11,79.4,-0.5,6.76,"Flexen, Chris",621550,623167,,ball,,,,,12,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,1,0,2023,1.44,-0.11,1.38,3.12,,,641355.0,1,3,Bot,,,,,663728,,,1.4315254925444896,-115.6340928277167,-0.9910003183291124,12.53662568936574,22.85140830129424,-33.14477961491583,3.3,1.5,,,,79.2,2575,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.28,,,,,,,,36,2,Slider,3,7,3,7,7,3,3,7,Standard,Standard,46,0.0,0.025
15,FC,2023-04-11,88.7,-0.36,6.83,"Flexen, Chris",621550,623167,,ball,,,,,14,Patrick Wisdom walks.   Cody Bellinger to 2nd.,R,R,R,CHC,SEA,B,,,0,0,2023,0.67,0.61,1.49,2.02,,,641355.0,1,3,Bot,,,,,663728,,,3.1289113647635145,-129.0873855489755,-6.9927478122223405,6.832902525641156,26.5030832068636,-24.13746790076419,3.27,1.5,,,,88.7,2285,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.25,,,,,,,,36,1,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,162,0.0,0.049
16,FC,2023-04-11,90.6,-0.43,6.84,"Flexen, Chris",641355,623167,single,hit_into_play,,,,,2,Cody Bellinger singles on a ground ball to right fielder Teoscar Hernandez.,R,L,R,CHC,SEA,X,9.0,ground_ball,2,2,2023,0.4,0.65,-0.09,3.31,,,,1,3,Bot,193.16,106.6,,,663728,,,-0.0111275427016144,-131.99846771213086,-4.281224657423918,4.673201913600994,26.39200081247078,-23.909316548676323,3.7,1.74,96.0,94.1,4.0,89.9,2412,5.7,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.84,0.454,0.445,0.9,1.0,1.0,0.0,4.0,35,6,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,176,0.021,0.294
17,FC,2023-04-11,87.7,-0.44,6.87,"Flexen, Chris",641355,623167,,foul,,,,,2,Cody Bellinger singles on a ground ball to right fielder Teoscar Hernandez.,R,L,R,CHC,SEA,S,,,2,2,2023,0.43,0.46,0.2,3.59,,,,1,3,Bot,,,,,663728,,,0.6650711624874903,-127.86577143635692,-2.860237575713548,4.629274827894806,24.296325297059447,-26.69821536002338,3.7,1.74,212.0,66.0,42.0,88.7,2479,6.7,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,53.85,,,,,,,,35,5,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,152,0.0,0.0
18,FC,2023-04-11,89.5,-0.48,6.91,"Flexen, Chris",641355,623167,,swinging_strike,,,,,2,Cody Bellinger singles on a ground ball to right fielder Teoscar Hernandez.,R,L,R,CHC,SEA,S,,,2,1,2023,0.64,0.88,0.08,3.18,,,,1,3,Bot,,,,,663728,,,0.0469979703414092,-130.45425502882077,-5.147859374969794,7.343579092175218,23.79225849778374,-21.258461790185127,3.7,1.74,,,,89.9,2386,6.1,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.36,,,,,,,,35,4,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,170,0.0,-0.037
19,FC,2023-04-11,88.0,-0.39,6.88,"Flexen, Chris",641355,623167,,swinging_strike,,,,,3,Cody Bellinger singles on a ground ball to right fielder Teoscar Hernandez.,R,L,R,CHC,SEA,S,,,2,0,2023,0.48,0.69,0.32,3.4,,,,1,3,Bot,,,,,663728,,,0.722146402875918,-128.30790384319394,-3.862872980475868,5.216956210384399,23.06326848342272,-23.991850989900502,3.7,1.74,,,,88.7,2451,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.17,,,,,,,,35,3,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,161,0.0,-0.047
